game,subject_mark,winner,subject_result,reason,attempts,moves,subject_decisions,subject_legal,subject_illegal,subject_optimal_legal,opponent_decisions,opponent_legal,opponent_illegal,opponent_optimal_legal
812,O,O,W,illegal_forfeit:X,9,8,4,4,0,2,5,4,1,3
813,X,X,W,illegal_forfeit:O,6,5,3,3,0,3,3,2,1,1
814,O,O,W,normal,8,8,4,4,0,3,4,4,0,2
815,X,O,L,normal,6,6,3,3,0,2,3,3,0,2
816,O,O,W,illegal_forfeit:X,5,4,2,2,0,1,3,2,1,2
817,X,X,W,illegal_forfeit:O,6,5,3,3,0,3,3,2,1,1
818,O,O,W,illegal_forfeit:X,3,2,1,1,0,1,2,1,1,1
819,X,X,W,illegal_forfeit:O,2,1,1,1,0,1,1,0,1,0
820,O,O,W,normal,8,8,4,4,0,4,4,4,0,3
821,X,X,W,illegal_forfeit:O,6,5,3,3,0,1,3,2,1,1
822,O,O,W,illegal_forfeit:X,7,6,3,3,0,3,4,3,1,2
823,X,X,W,illegal_forfeit:O,6,5,3,3,0,1,3,2,1,0
824,O,O,W,illegal_forfeit:X,7,6,3,3,0,1,4,3,1,2
825,X,X,W,normal,9,9,5,5,0,4,4,4,0,2
826,O,O,W,illegal_forfeit:X,7,6,3,3,0,3,4,3,1,2
827,X,X,W,illegal_forfeit:O,4,3,2,2,0,1,2,1,1,0
828,O,O,W,illegal_forfeit:X,7,6,3,3,0,2,4,3,1,2
829,X,X,W,normal,5,5,3,3,0,3,2,2,0,1
830,O,O,W,illegal_forfeit:X,5,4,2,2,0,1,3,2,1,2
831,X,X,W,illegal_forfeit:O,4,3,2,2,0,2,2,1,1,0
832,O,O,W,illegal_forfeit:X,7,6,3,3,0,3,4,3,1,2
833,X,X,W,normal,5,5,3,3,0,3,2,2,0,1
834,O,O,W,illegal_forfeit:X,7,6,3,3,0,2,4,3,1,3
835,X,X,W,illegal_forfeit:O,4,3,2,2,0,2,2,1,1,0
836,O,X,L,normal,7,7,3,3,0,2,4,4,0,4
837,X,X,W,illegal_forfeit:O,4,3,2,2,0,2,2,1,1,0
838,O,O,W,illegal_forfeit:X,3,2,1,1,0,1,2,1,1,1
839,X,X,W,normal,7,7,4,4,0,4,3,3,0,2
840,O,O,W,illegal_forfeit:X,3,2,1,1,0,1,2,1,1,1
841,X,X,W,normal,5,5,3,3,0,3,2,2,0,1
842,O,O,W,illegal_forfeit:X,9,8,4,4,0,2,5,4,1,2
